1447.99,364.625
1627.91,363.407
1268.01,366.085
1089.22,367.814
911.13,369.657
734.646,371.633
559.331,373.751
385.783,376.141
214.258,378.555
1448.71,544.278
1628.61,543.327
1090.02,546.567
1268.79,545.368
912.041,547.846
735.565,549.138
386.849,552.165
560.294,550.598
215.387,553.738
1269.45,724.47
1449.28,723.783
1629.01,723.2
912.929,725.875
1090.87,725.171
561.481,727.404
736.613,726.638
216.846,728.872
388.256,728.153
1449.59,902.947
1629.04,902.633
218.676,903.569
389.825,903.657
562.882,903.699
737.818,903.687
913.938,903.602
1091.63,903.443
1269.99,903.201
220.745,1077.78
391.667,1078.72
564.494,1079.5
739.146,1080.16
915.012,1080.71
1092.36,1081.04
1270.44,1081.29
1449.65,1081.5
1628.88,1081.5
223.247,1251.24
393.783,1253.04
566.246,1254.58
740.564,1255.94
916.037,1257.07
1093.09,1257.99
1270.81,1258.69
1449.61,1259.24
1628.47,1259.64
